city,street,zip,state,lat,lon,time,time_not_allowed,latlong,Multiline_location,day_of_week
CHATSWORTH,23845 W. McBean Pkwy.,91311-7813,CA,34.91916663,-118.4778,2007-04-11T08:50:00.000Z,Nov 30 2015 5:25 AM,"(34.04645, -118.23792)","3951 GRAND VIEW BLVD
LOS ANGELES 90066
(34.001914, -118.428935)",6
CANOGA PARK,100 W. California Blvd.,90004,CA,37.12861107,-118.5215,2003-09-16T00:00:00.000Z,Nov 30 2015 5:25 AM,"(34.03116, -118.35257)","929 N LAS PALMAS AVE
LOS ANGELES 90038
(34.088009, -118.336266)",7
NORTH HILLS,3700 E. South St.,90004,CA,34.26777775,-118.5147,2004-06-09T00:00:00.000Z,Nov 30 2015 5:25 AM,"(34.01173, -118.28296)","6611 SELMA AVE
LOS ANGELES 90028
(34.099722, -118.334629)",7
NORTHRIDGE,2400 S. Flower St.,91311-2368,CA,34.32499997,-118.5179,2003-06-17T00:00:00.000Z,Nov 30 2015 5:25 AM,"(34.05712, -118.41481)","2211 W AVE 30
LOS ANGELES 90065
(34.104238, -118.236829)",7
CERRITOS,300 W. Huntington Dr.,90004,CA,34.26777775,-118.5605,2004-11-17T00:00:00.000Z,Nov 30 2015 5:25 AM,"(34.20196, -118.56515)","151 W 30TH ST
LOS ANGELES 90007
(34.022069, -118.271375)",5
LOS ANGELES,1300 W. 7th St.,91304-5136,CA,34.27222219,-118.5618,2005-12-30T06:53:00.000Z,Nov 30 2015 5:25 AM,"(34.05621, -118.39569)","898 E 42ND ST
LOS ANGELES 90011
(34.007523, -118.25984)",5
WEST HILLS,4101 Torrance Blvd.,90004,CA,34.22722219,-118.5613,2007-10-24T14:29:00.000Z,Nov 30 2015 5:25 AM,"(34.02485, -118.22188)","11562 RICHLAND AVE
LOS ANGELES 90064
(34.028948, -118.439744)",2
SALT LAKE CITY,1050 Linden Ave.,91311-1448,CA,34.27222219,-118.5877,2004-12-16T00:00:00.000Z,3/25/08,"(34.04484, -118.26453)","1500 W WASHINGTON BLVD
LOS ANGELES 90007
(34.04001, -118.289685)",5
WINNETKA,1720 E. Cesar E. Chavez Ave.,90004,CA,34.32638886,-118.5876,2005-04-07T00:00:00.000Z,4/30/06,"(34.04022, -118.30879)","728 WOODWORTH ST
SAN FERNANDO 91340
(34.275991, -118.444659)",5
NEWHALL,700 Chatsworth Dr,90004,CA,34.2683333,-118.5871,2005-04-22T00:00:00.000Z,1/10/07,"(34.17895, -118.60413)","5200 W VIRGINIA AVE
LOS ANGELES 90029
(34.091942, -118.303299)",7
RESEDA,2121 Santa Monica Blvd,90004,CA,34.26916664,-118.5015,2005-09-30T10:43:00.000Z,11/9/05,"(33.98854, -118.29128)","3724 E FIRST ST
LOS ANGELES 90063
(34.03603, -118.185459)",1
HALF MOON BAY,767 N Hill St,91343-6108,CA,34.32638886,-118.5526,2006-08-03T00:00:00.000Z,10/5/07,"(34.27187, -118.36846)","1562 BAXTER ST
LOS ANGELES 90026
(34.088875, -118.248843)",4
PARK RIDGE,2323 Workman St,91311-8410,CA,34.34999997,-118.544,2006-04-26T00:00:00.000Z,8/15/05,"(34.09792, -118.29436)","420 S AMALIA AVE
LOS ANGELES 90022
(34.028104, -118.153795)",2
SAN MARCOS,200 S Beach Blvd,90004,CA,34.32555553,-118.5211,2009-03-27T07:28:00.000Z,8/24/05,"(34.0082, -118.24276)","5243 OAKLAND ST
LOS ANGELES 90032
(34.088618, -118.167841)",5
PORTER RANCH,3110 Chino Ave,90004,CA,34.32555553,-118.5212,2006-09-19T07:12:00.000Z,8/17/05,"(34.10171, -118.34113)","3600 W COUNCIL ST
LOS ANGELES 90004
(34.074593, -118.290667)",2
